# Sample	Reads1.fq[.gz][,Reads2.fq[.gz][,orphans.fq[.gz]]]
D07-ZH-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D07-ZH-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D07-ZH-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D07-ZH-R2_orphans.fq.gz
D03-OH-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D03-OH-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D03-OH-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D03-OH-R1_orphans.fq.gz
D10-ZH-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D10-ZH-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D10-ZH-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D10-ZH-R2_orphans.fq.gz
D01-ZH-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-ZH-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-ZH-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-ZH-R1_orphans.fq.gz
D01-ZR-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-ZR-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-ZR-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-ZR-R1_orphans.fq.gz
D05-ZR-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D05-ZR-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D05-ZR-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D05-ZR-R2_orphans.fq.gz
D06-ZR-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-ZR-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-ZR-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-ZR-R1_orphans.fq.gz
D05-ZF-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D05-ZF-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D05-ZF-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D05-ZF-R2_orphans.fq.gz
D04-ZH-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-ZH-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-ZH-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-ZH-R1_orphans.fq.gz
D06-OF-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-OF-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-OF-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-OF-R1_orphans.fq.gz
D05-OH-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D05-OH-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D05-OH-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D05-OH-R3_orphans.fq.gz
D09-ZR-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D09-ZR-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D09-ZR-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D09-ZR-R2_orphans.fq.gz
PCO-B1-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/PCO-B1-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/PCO-B1-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/PCO-B1-R2_orphans.fq.gz
D07-OR-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D07-OR-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D07-OR-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D07-OR-R2_orphans.fq.gz
D04-OH-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-OH-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-OH-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-OH-R3_orphans.fq.gz
D10-ZF-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D10-ZF-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D10-ZF-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D10-ZF-R3_orphans.fq.gz
D10-ZH-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D10-ZH-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D10-ZH-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D10-ZH-R3_orphans.fq.gz
D06-NF-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-NF-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-NF-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-NF-R1_orphans.fq.gz
D05-OF-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D05-OF-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D05-OF-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D05-OF-R1_orphans.fq.gz
D04-ZH-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-ZH-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-ZH-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-ZH-R3_orphans.fq.gz
D08-OR-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-OR-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-OR-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-OR-R2_orphans.fq.gz
D07-ZF-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D07-ZF-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D07-ZF-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D07-ZF-R1_orphans.fq.gz
D08-OH-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-OH-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-OH-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-OH-R3_orphans.fq.gz
D04-OF-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-OF-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-OF-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-OF-R2_orphans.fq.gz
D04-OR-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-OR-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-OR-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-OR-R2_orphans.fq.gz
D03-NF-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D03-NF-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D03-NF-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D03-NF-R2_orphans.fq.gz
D06-OR-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-OR-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-OR-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-OR-R2_orphans.fq.gz
D04-ZR-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-ZR-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-ZR-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-ZR-R2_orphans.fq.gz
D09-OF-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D09-OF-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D09-OF-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D09-OF-R3_orphans.fq.gz
D07-NF-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D07-NF-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D07-NF-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D07-NF-R3_orphans.fq.gz
D08-ZR-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-ZR-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-ZR-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-ZR-R1_orphans.fq.gz
D08-OF-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-OF-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-OF-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-OF-R2_orphans.fq.gz
D08-ZF-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-ZF-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-ZF-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-ZF-R2_orphans.fq.gz
D04-ZF-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-ZF-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-ZF-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-ZF-R1_orphans.fq.gz
D06-ZF-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-ZF-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-ZF-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-ZF-R2_orphans.fq.gz
D02-OF-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D02-OF-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D02-OF-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D02-OF-R1_orphans.fq.gz
NCO-B2-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/NCO-B2-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/NCO-B2-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/NCO-B2-R3_orphans.fq.gz
D04-ZF-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-ZF-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-ZF-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-ZF-R2_orphans.fq.gz
NCO-B2-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/NCO-B2-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/NCO-B2-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/NCO-B2-R1_orphans.fq.gz
D02-ZR-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D02-ZR-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D02-ZR-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D02-ZR-R3_orphans.fq.gz
D04-OF-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-OF-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-OF-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-OF-R3_orphans.fq.gz
D07-ZH-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D07-ZH-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D07-ZH-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D07-ZH-R3_orphans.fq.gz
D07-OF-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D07-OF-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D07-OF-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D07-OF-R3_orphans.fq.gz
D06-NF-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-NF-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-NF-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-NF-R3_orphans.fq.gz
D05-OF-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D05-OF-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D05-OF-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D05-OF-R2_orphans.fq.gz
PCO-B4-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/PCO-B4-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/PCO-B4-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/PCO-B4-R1_orphans.fq.gz
D10-ZH-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D10-ZH-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D10-ZH-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D10-ZH-R1_orphans.fq.gz
NCO-B4-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/NCO-B4-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/NCO-B4-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/NCO-B4-R2_orphans.fq.gz
D06-OR-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-OR-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-OR-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D06-OR-R1_orphans.fq.gz
D10-ZF-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D10-ZF-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D10-ZF-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D10-ZF-R2_orphans.fq.gz
D04-OH-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-OH-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-OH-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D04-OH-R2_orphans.fq.gz
D08-ZH-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-ZH-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-ZH-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-ZH-R1_orphans.fq.gz
D09-NF-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D09-NF-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D09-NF-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D09-NF-R3_orphans.fq.gz
D08-ZR-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-ZR-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-ZR-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D08-ZR-R3_orphans.fq.gz
PCO-B4-R2	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/PCO-B4-R2_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/PCO-B4-R2_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/PCO-B4-R2_orphans.fq.gz
D09-OR-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D09-OR-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D09-OR-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D09-OR-R3_orphans.fq.gz
D03-ZF-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D03-ZF-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D03-ZF-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D03-ZF-R3_orphans.fq.gz
NCO-B4-R1	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/NCO-B4-R1_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/NCO-B4-R1_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/NCO-B4-R1_orphans.fq.gz
PCO-B4-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/PCO-B4-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/PCO-B4-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/PCO-B4-R3_orphans.fq.gz
D01-ZR-R3	/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-ZR-R3_1.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-ZR-R3_2.fq.gz,/oak/stanford/scg/lab_asbhatt/maidvora/projects/benchmark/1.preprocess/preprocessing/01_processing/05_sync/D01-ZR-R3_orphans.fq.gz
